Unnamed: 0,stationTriplet,stationId,stateCode,networkCode,name,dcoCode,countyName,huc,elevation,latitude,longitude,dataTimeZone,pedonCode,shefId,beginDate,endDate,silt_0_30cm,clay_0_30cm,nitrogen_0_30cm,sand_0_30cm,soc_0_30cm
0,2057:AL:SCAN,2057,AL,SCAN,AAMU-JTG,GC,Madison,60300020403,800,34.78534,-86.55906,-6,27979,AAMA1,2002-02-23 00:00,2100-01-01 00:00,585.0,264.67,157.67,150.0,190.67
8,2092:KS:SCAN,2092,KS,SCAN,Abrams,GC,Cowley,110300130307,1190,37.1313,-97.0859,-6,31337,ABRK1,2004-06-21 00:00,2100-01-01 00:00,160.0,141.33,163.0,698.67,130.33
10,2015:NM:SCAN,2015,NM,SCAN,Adams Ranch #1,GC,Lincoln,130600060201,6170,34.25298,-105.41976,-7,19304,ADRN5,1993-10-25 00:00,2100-01-01 00:00,179.67,156.0,119.67,664.33,94.33
13,2235:CA:SCAN,2235,CA,SCAN,Adobe,GC,Mono,180901010607,6500,37.97787,-118.68626,-8,,,2023-09-27 00:00,2100-01-01 00:00,246.0,174.67,61.67,579.33,60.67
23,2237:CA:SCAN,2237,CA,SCAN,Alabama Hills,GC,Inyo,180901030207,5240,36.56295,-118.13562,-8,,,2023-09-28 00:00,2100-01-01 00:00,220.33,78.33,112.33,701.0,163.67
31,2172:NM:SCAN,2172,NM,SCAN,Alcalde,GC,Rio Arriba,130201011107,5680,36.0908,-106.05668,-7,53313,ALDN5,2010-03-10 00:00,2100-01-01 00:00,124.67,160.0,76.67,714.67,89.0
35,2138:UT:SCAN,2138,UT,SCAN,Alkali Mesa,GC,San Juan,140802030601,6450,37.67455,-109.36429,-7,34635,ALKU1,2007-09-17 00:00,2100-01-01 00:00,357.0,212.67,122.67,431.0,139.67
36,2076:TN:SCAN,2076,TN,SCAN,Allen Farms,GC,Giles,60300030905,690,35.0747,-86.8938,-6,30331,ALFT1,2003-06-03 00:00,2100-01-01 00:00,463.0,304.67,175.33,232.33,203.0
56,2031:IA:SCAN,2031,IA,SCAN,Ames,GC,Boone,70801050307,1060,42.01667,-93.73333,-6,28516,AMMI4,2001-09-19 00:00,2100-01-01 00:00,396.0,343.67,241.33,260.33,230.67
98,2214:CA:SCAN,2214,CA,SCAN,Ash Valley,GC,Lassen,180200021404,5100,41.05204,-120.6872,-8,,VYAC1,2014-10-23 00:00,2100-01-01 00:00,352.0,275.67,130.33,372.33,138.67
