,latitude,longitude,phh2o_0_30cm,ocd_0_30cm,cec_0_30cm,sand_0_30cm,silt_0_30cm,clay_0_30cm
0,18.15,-67.00468,51.0,449.67,198.33,259.33,361.67,378.67
1,40.85,-96.46667,61.33,306.0,239.67,14.33,643.0,342.67
2,45.41667,-93.95,57.33,324.33,163.67,802.0,120.67,77.67
3,45.47351,-88.58584,53.67,311.33,139.0,391.0,522.67,86.33
4,40.31314,-89.90187,59.0,271.0,164.67,656.67,217.33,126.0
5,37.1,-87.83333,60.0,249.33,119.67,95.67,647.33,256.67
6,35.16667,-102.1,70.67,212.67,214.67,181.33,487.33,331.67
7,35.86667,-76.65,49.67,361.33,237.33,471.67,342.33,186.0
8,30.30585,-84.42477,48.67,189.33,78.67,921.33,57.0,22.0
9,42.88333,-77.03333,70.67,285.33,160.0,423.0,397.0,180.0
10,29.1,-81.63333,50.0,176.0,69.67,954.33,28.0,17.33
11,33.88333,-83.43333,56.67,221.0,74.33,624.0,202.67,173.33
12,39.95,-83.45,62.67,315.33,234.67,179.67,498.33,322.0
13,34.25298,-105.41976,75.33,144.67,110.0,664.33,179.67,156.0
14,30.08333,-95.98333,59.67,198.0,110.67,500.0,327.0,172.67
15,40.85989,-104.74033,72.67,149.0,161.0,605.33,198.33,196.33
16,42.07053,-104.14084,81.0,147.67,190.33,462.0,315.67,222.33
17,48.49086,-109.8004,73.67,219.67,180.0,369.0,383.0,248.0
18,46.76667,-100.91667,68.33,286.33,219.67,351.67,401.67,247.0
19,47.0,-118.56667,69.33,156.33,127.0,304.33,572.0,124.0
20,35.55,-98.01667,61.33,228.67,151.67,203.0,485.67,311.67
21,34.25,-89.86667,53.0,221.67,118.0,22.0,769.0,209.0
22,34.23595,-89.89828,55.0,216.33,115.0,10.67,840.67,148.67
23,31.74368,-110.05185,79.67,99.0,156.67,598.33,207.33,194.0
24,31.5,-83.55,52.0,232.33,53.33,802.33,91.33,106.33
25,40.67309,-76.66702,56.0,299.0,169.33,330.67,467.33,202.0
26,34.85,-91.88333,56.33,235.67,113.33,78.0,732.67,189.0
27,42.01667,-93.73333,67.67,352.33,308.67,260.33,396.0,343.67
28,33.38333,-90.65,58.67,259.0,264.0,47.33,588.67,364.0
29,32.75358,-90.94208,71.33,237.33,279.67,54.0,608.33,337.33
30,34.6764,-90.41142,59.0,268.67,280.67,125.0,510.33,364.0
31,34.06301,-90.35843,59.67,240.67,233.0,173.33,455.67,371.0
32,40.71667,-77.93333,64.0,318.67,183.33,192.0,579.67,228.33
33,34.3,-79.73333,51.67,292.67,130.33,514.33,273.33,212.67
34,32.66667,-81.2,49.67,298.67,101.33,640.67,139.33,219.67
35,38.23333,-78.11667,58.0,283.67,146.0,285.33,423.0,291.67
36,44.53509,-72.83451,38.67,585.33,384.0,455.0,456.33,88.67
37,43.05753,-73.03834,39.0,518.0,460.67,562.67,362.67,74.67
38,43.7756,-72.02593,41.33,446.33,584.0,739.33,228.33,32.33
39,18.14638,-66.76718,50.67,497.0,270.33,170.0,402.0,428.0
40,33.9737,-90.90496,65.67,260.33,308.33,19.33,551.33,429.0
41,40.25,-93.71667,63.0,291.0,242.0,106.33,550.67,342.67
42,36.78333,-89.93333,61.67,231.33,134.33,126.33,630.33,243.0
43,39.01667,-76.85,51.67,243.0,206.0,450.67,372.33,177.0
44,47.71667,-96.26667,72.0,332.67,179.33,769.33,141.0,89.33
45,25.5,-80.55,74.67,365.0,196.67,293.33,325.33,381.33
46,18.47022,-67.04372,48.67,294.33,139.33,270.0,90.67,639.67
47,34.90159,-86.53852,54.67,250.0,123.67,71.33,662.0,266.67
48,34.44486,-86.16517,53.67,276.0,98.67,174.33,626.33,200.0
49,34.43935,-86.68734,64.0,278.67,118.33,415.33,366.33,218.33
50,34.78534,-86.55906,53.0,250.33,104.33,150.0,585.0,264.67
51,37.073,-93.88158,61.67,233.0,143.67,98.67,724.33,176.33
52,38.86667,-94.03333,63.67,346.67,287.33,36.0,612.33,351.33
53,59.68881,-151.37108,52.0,508.67,307.33,411.67,495.33,93.0
54,59.6927,-151.394,51.33,522.0,330.33,384.33,536.0,80.0
55,33.47094,-88.78051,58.0,259.0,191.0,162.67,508.33,329.0
56,17.98333,-67.16667,72.33,293.67,335.67,296.0,239.67,464.33
57,42.44481,-95.76793,61.33,290.0,229.33,41.0,641.0,318.0
58,43.94843,-71.72644,46.33,405.0,356.33,563.0,364.67,72.33
59,33.61962,-91.10184,62.0,237.0,244.67,93.67,535.33,371.0
60,43.73835,-96.61455,71.67,359.33,249.67,108.33,561.0,330.33
61,35.06445,-86.59137,60.0,240.33,96.67,158.0,587.33,254.67
62,35.0747,-86.8938,58.33,257.0,174.0,232.33,463.0,304.67
63,35.13905,-86.19113,58.0,250.0,123.67,82.0,646.67,271.0
