STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,centroid,centroid_wgs84,lat_centroid,lon_centroid,index_right,station_idx,stationTriplet,stationId,name
17,091,00424247,0500000US17091,17091,Kankakee,06,1752121058,12440760,POINT (676922.9751087938 2043418.0146898576),POINT (-87.86183129275956 41.137710259371715),41.137710259371715,-87.86183129275956,106.0,110.0,2004:IL:SCAN,2004,Mason #1
17,187,01785134,0500000US17187,17187,Warren,06,1404747944,1674135,POINT (450064.4495737427 1994793.7793564317),POINT (-90.61501039462989 40.848816760112456),40.848816760112456,-90.61501039462989,106.0,110.0,2004:IL:SCAN,2004,Mason #1
17,197,01785190,0500000US17197,17197,Will,06,2164927644,34548925,POINT (664354.4728868606 2076858.9566457737),POINT (-87.97864242148341 41.44504270382518),41.44504270382518,-87.97864242148341,106.0,110.0,2004:IL:SCAN,2004,Mason #1
18,027,00450343,0500000US18027,18027,Daviess,06,1112374406,19124393,POINT (768037.0587844133 1777644.289731769),POINT (-87.07204460457888 38.70240607387267),38.70240607387267,-87.07204460457888,139.0,143.0,2005:KY:SCAN,2005,Princeton #1
18,061,00451677,0500000US18061,18061,Harrison,06,1254889433,5193186,POINT (856316.3859662295 1729277.7252235324),POINT (-86.11130682918781 38.1951715250524),38.1951715250524,-86.11130682918781,98.0,102.0,2079:KY:SCAN,2079,Mammoth Cave
19,175,00465276,0500000US19175,19175,Union,06,1097235806,5575853,POINT (146599.68772580664 2003449.7057079605),POINT (-94.24234882958399 41.02772802229563),41.02772802229563,-94.24234882958399,166.0,170.0,2047:MO:SCAN,2047,Spickard
20,053,00484996,0500000US20053,20053,Ellsworth,06,1853331063,19969761,POINT (-189943.97242931812 1743107.8914965135),POINT (-98.20476048074013 38.696638533984384),38.696638533984384,-98.20476048074013,133.0,137.0,2093:KS:SCAN,2093,Phillipsburg
20,095,00485012,0500000US20095,20095,Kingman,06,2236100137,8536908,POINT (-186917.10371320415 1615490.1247080597),POINT (-98.1363358671696 37.55889837963634),37.55889837963634,-98.1363358671696,1.0,1.0,2092:KS:SCAN,2092,Abrams
20,135,00485031,0500000US20135,20135,Ness,06,2783562240,667491,POINT (-338321.72721246 1723526.5810724148),POINT (-99.9161527727777 38.47942841040648),38.47942841040648,-99.9161527727777,133.0,137.0,2093:KS:SCAN,2093,Phillipsburg
20,199,00485060,0500000US20199,20199,Wallace,06,2366348284,140936,POINT (-494792.7610074804 1780568.888765159),POINT (-101.76361597256924 38.916681207931376),38.916681207931376,-101.76361597256924,73.0,76.0,2111:NE:SCAN,2111,Johnson Farm
29,057,00758483,0500000US29057,29057,Dade,06,1269121009,42072595,POINT (188410.3932317536 1601302.032705294),POINT (-93.85026948379073 37.43206460919107),37.43206460919107,-93.85026948379073,120.0,124.0,2060:MO:SCAN,2060,Mt Vernon
29,143,00758526,0500000US29143,29143,New Madrid,06,1747868662,56238249,POINT (562263.9843119938 1524110.1655040933),POINT (-89.65174111082695 36.594590884351454),36.594590884351454,-89.65174111082695,41.0,43.0,2048:MO:SCAN,2048,Dexter
29,157,00758533,0500000US29157,29157,Perry,06,1228574133,25394865,POINT (538915.4697583967 1647522.1406059435),POINT (-89.82444242108916 37.7071583146988),37.7071583146988,-89.82444242108916,41.0,43.0,2048:MO:SCAN,2048,Dexter
29,189,00758549,0500000US29189,29189,St. Louis,06,1314228662,40161918,POINT (478837.90879380493 1748612.476037632),POINT (-90.44334713686624 38.640535241862764),38.640535241862764,-90.44334713686624,160.0,164.0,2227:MO:SCAN,2227,Shaw Nature Reserve
29,199,00758552,0500000US29199,29199,Scotland,06,1130548364,7217862,POINT (323904.07282809884 1944243.5608377205),POINT (-92.14702659066658 40.452590969877676),40.452590969877676,-92.14702659066658,104.0,108.0,2225:MO:SCAN,2225,Mark Twain HS
29,207,00758556,0500000US29207,29207,Stoddard,06,2132122569,15033642,POINT (534543.3696409898 1551599.6919991155),POINT (-89.94430551744426 36.85559875474412),36.85559875474412,-89.94430551744426,41.0,43.0,2048:MO:SCAN,2048,Dexter
31,091,00835867,0500000US31091,31091,Hooker,06,1867796137,882994,POINT (-422764.0548111367 2112949.932335837),POINT (-101.1353201537778 41.91606567303863),41.91606567303863,-101.1353201537778,73.0,76.0,2111:NE:SCAN,2111,Johnson Farm
18,103,00450373,0500000US18103,18103,Miami,06,968246949,9184624,POINT (831868.2421317224 2016758.647085452),POINT (-86.04504973375283 40.76945637165657),40.76945637165657,-86.04504973375283,113.0,117.0,2014:OH:SCAN,2014,Molly Caren #1
18,129,00450383,0500000US18129,18129,Posey,06,1060267353,25779827,POINT (706211.9284082201 1695487.786599363),POINT (-87.86845961108334 38.021817931725465),38.021817931725465,-87.86845961108334,139.0,143.0,2005:KY:SCAN,2005,Princeton #1
18,147,00450388,0500000US18147,18147,Spencer,06,1027623721,12065857,POINT (780830.1806051359 1701365.5252857716),POINT (-87.00766950958703 38.014096395973056),38.014096395973056,-87.00766950958703,139.0,143.0,2005:KY:SCAN,2005,Princeton #1
