,month,year,PRCP,SMS_-8,TAVG,TMAX,TMIN,stationTriplet,latitude,longitude,date
21145,5,2001,,36.2,,,,15:PR:SCAN,18.15,-67.00468,2001-05-01
21146,6,2001,8.0,38.1,72.0,85.6,63.9,15:PR:SCAN,18.15,-67.00468,2001-06-01
21147,7,2001,8.1,37.8,72.3,83.1,63.5,15:PR:SCAN,18.15,-67.00468,2001-07-01
21148,8,2001,8.9,38.5,72.9,84.6,65.5,15:PR:SCAN,18.15,-67.00468,2001-08-01
21149,9,2001,10.9,38.0,72.7,85.3,63.7,15:PR:SCAN,18.15,-67.00468,2001-09-01
21150,10,2001,7.2,37.9,72.5,84.4,63.0,15:PR:SCAN,18.15,-67.00468,2001-10-01
21151,11,2001,5.2,39.2,69.1,84.4,61.7,15:PR:SCAN,18.15,-67.00468,2001-11-01
21152,12,2001,12.4,32.0,69.5,83.7,63.5,15:PR:SCAN,18.15,-67.00468,2001-12-01
21153,1,2002,1.1,29.0,68.6,85.6,61.9,15:PR:SCAN,18.15,-67.00468,2002-01-01
21154,2,2002,1.3,29.6,67.4,84.4,59.2,15:PR:SCAN,18.15,-67.00468,2002-02-01
21155,3,2002,5.1,37.3,67.9,86.2,60.8,15:PR:SCAN,18.15,-67.00468,2002-03-01
21156,4,2002,11.8,35.8,67.8,81.0,59.0,15:PR:SCAN,18.15,-67.00468,2002-04-01
21157,5,2002,7.8,29.3,70.4,82.2,62.8,15:PR:SCAN,18.15,-67.00468,2002-05-01
21158,6,2002,1.9,29.7,72.2,85.1,63.1,15:PR:SCAN,18.15,-67.00468,2002-06-01
21159,7,2002,3.7,37.2,72.7,84.0,64.9,15:PR:SCAN,18.15,-67.00468,2002-07-01
21160,8,2002,9.5,37.1,72.5,84.4,64.0,15:PR:SCAN,18.15,-67.00468,2002-08-01
21161,9,2002,8.6,38.3,73.0,85.5,66.6,15:PR:SCAN,18.15,-67.00468,2002-09-01
21162,10,2002,12.5,37.0,71.8,85.5,64.6,15:PR:SCAN,18.15,-67.00468,2002-10-01
21163,11,2002,5.9,30.7,71.4,84.2,64.0,15:PR:SCAN,18.15,-67.00468,2002-11-01
21164,12,2002,2.1,28.7,69.6,82.8,63.9,15:PR:SCAN,18.15,-67.00468,2002-12-01
21165,1,2003,1.1,27.8,69.1,84.6,61.5,15:PR:SCAN,18.15,-67.00468,2003-01-01
21166,2,2003,1.1,26.7,69.7,84.0,61.3,15:PR:SCAN,18.15,-67.00468,2003-02-01
21167,3,2003,2.4,35.1,70.0,84.0,63.3,15:PR:SCAN,18.15,-67.00468,2003-03-01
21168,4,2003,7.5,35.8,69.8,83.7,61.7,15:PR:SCAN,18.15,-67.00468,2003-04-01
21169,5,2003,9.6,29.6,71.0,83.8,61.3,15:PR:SCAN,18.15,-67.00468,2003-05-01
21170,6,2003,2.8,29.2,71.9,85.1,65.8,15:PR:SCAN,18.15,-67.00468,2003-06-01
21171,7,2003,4.8,27.6,72.1,85.3,64.2,15:PR:SCAN,18.15,-67.00468,2003-07-01
21172,8,2003,6.28,35.8,72.6,83.8,66.7,15:PR:SCAN,18.15,-67.00468,2003-08-01
21173,9,2003,9.91,36.3,72.6,83.8,64.0,15:PR:SCAN,18.15,-67.00468,2003-09-01
21174,10,2003,,36.7,,,,15:PR:SCAN,18.15,-67.00468,2003-10-01
21175,11,2003,,34.6,69.9,81.1,64.9,15:PR:SCAN,18.15,-67.00468,2003-11-01
21176,12,2003,6.7,31.8,68.1,80.2,58.6,15:PR:SCAN,18.15,-67.00468,2003-12-01
21177,2,2004,,29.0,,,,15:PR:SCAN,18.15,-67.00468,2004-02-01
21178,3,2004,,35.8,67.4,82.2,61.0,15:PR:SCAN,18.15,-67.00468,2004-03-01
21179,4,2004,12.5,37.0,69.0,81.9,61.7,15:PR:SCAN,18.15,-67.00468,2004-04-01
21180,5,2004,10.0,34.7,68.5,83.5,61.5,15:PR:SCAN,18.15,-67.00468,2004-05-01
21181,6,2004,7.5,37.1,71.5,84.7,63.5,15:PR:SCAN,18.15,-67.00468,2004-06-01
21182,7,2004,11.1,35.2,71.2,84.0,61.5,15:PR:SCAN,18.15,-67.00468,2004-07-01
21183,8,2004,,35.900000000000006,72.3,84.6,62.1,15:PR:SCAN,18.15,-67.00468,2004-08-01
21184,9,2004,,36.6,,,,15:PR:SCAN,18.15,-67.00468,2004-09-01
21185,10,2004,13.7,34.4,69.8,83.1,61.3,15:PR:SCAN,18.15,-67.00468,2004-10-01
21186,11,2004,1.4,30.1,66.6,86.2,57.2,15:PR:SCAN,18.15,-67.00468,2004-11-01
21187,12,2004,1.5,28.7,66.2,81.3,58.6,15:PR:SCAN,18.15,-67.00468,2004-12-01
21188,1,2005,1.3,26.6,62.6,79.2,54.3,15:PR:SCAN,18.15,-67.00468,2005-01-01
21189,2,2005,0.1,23.6,62.8,82.4,55.0,15:PR:SCAN,18.15,-67.00468,2005-02-01
21190,3,2005,2.2,35.5,69.4,85.8,57.6,15:PR:SCAN,18.15,-67.00468,2005-03-01
21191,4,2005,8.6,34.9,69.2,84.4,59.9,15:PR:SCAN,18.15,-67.00468,2005-04-01
21192,5,2005,5.9,34.4,69.9,84.0,62.1,15:PR:SCAN,18.15,-67.00468,2005-05-01
21193,6,2005,9.0,37.2,71.8,84.7,63.5,15:PR:SCAN,18.15,-67.00468,2005-06-01
21194,7,2005,11.7,30.6,71.0,84.0,61.5,15:PR:SCAN,18.15,-67.00468,2005-07-01
21195,8,2005,7.7,35.8,72.5,84.6,65.3,15:PR:SCAN,18.15,-67.00468,2005-08-01
21196,9,2005,,35.75,72.5,86.4,64.0,15:PR:SCAN,18.15,-67.00468,2005-09-01
21197,10,2005,,35.7,,,,15:PR:SCAN,18.15,-67.00468,2005-10-01
21198,11,2005,,30.6,69.0,83.7,61.5,15:PR:SCAN,18.15,-67.00468,2005-11-01
21199,12,2005,0.26,30.3,67.8,85.5,61.2,15:PR:SCAN,18.15,-67.00468,2005-12-01
21200,1,2006,1.62,32.75,66.2,83.3,58.3,15:PR:SCAN,18.15,-67.00468,2006-01-01
21201,2,2006,,35.2,,,,15:PR:SCAN,18.15,-67.00468,2006-02-01
21202,3,2006,,36.6,66.6,84.0,58.1,15:PR:SCAN,18.15,-67.00468,2006-03-01
21203,4,2006,9.5,35.1,68.0,83.5,60.8,15:PR:SCAN,18.15,-67.00468,2006-04-01
21204,5,2006,3.6,35.1,70.1,84.4,62.1,15:PR:SCAN,18.15,-67.00468,2006-05-01
21205,6,2006,4.7,35.9,71.5,84.6,64.4,15:PR:SCAN,18.15,-67.00468,2006-06-01
21206,7,2006,5.1,36.8,71.3,85.3,63.1,15:PR:SCAN,18.15,-67.00468,2006-07-01
21207,8,2006,10.2,37.7,71.2,85.8,64.8,15:PR:SCAN,18.15,-67.00468,2006-08-01
21208,9,2006,12.1,36.5,71.8,86.4,64.2,15:PR:SCAN,18.15,-67.00468,2006-09-01
21209,10,2006,5.33,34.4,71.6,86.2,65.1,15:PR:SCAN,18.15,-67.00468,2006-10-01
21210,11,2006,2.9,34.5,71.5,89.8,65.3,15:PR:SCAN,18.15,-67.00468,2006-11-01
21211,12,2006,4.45,34.5,69.6,85.8,63.3,15:PR:SCAN,18.15,-67.00468,2006-12-01
21212,1,2007,2.24,28.4,67.6,86.4,61.9,15:PR:SCAN,18.15,-67.00468,2007-01-01
21213,2,2007,1.49,29.1,69.2,86.7,61.2,15:PR:SCAN,18.15,-67.00468,2007-02-01
21214,3,2007,1.83,32.3,68.7,86.5,61.3,15:PR:SCAN,18.15,-67.00468,2007-03-01
21215,4,2007,6.07,34.9,69.2,85.1,60.6,15:PR:SCAN,18.15,-67.00468,2007-04-01
