month,year,PRCP,SMS_-8,TAVG,TMAX,TMIN,stationTriplet,latitude,longitude
4,2002,,18.3,,,,2057:AL:SCAN,34.78534,-86.55906
5,2002,4.8,12.2,66.2,,37.9,2057:AL:SCAN,34.78534,-86.55906
6,2002,2.08,12.0,75.2,,54.1,2057:AL:SCAN,34.78534,-86.55906
7,2002,3.4,11.4,78.1,,64.9,2057:AL:SCAN,34.78534,-86.55906
8,2002,1.44,13.0,77.7,,60.8,2057:AL:SCAN,34.78534,-86.55906
9,2002,2.19,19.2,74.7,,56.3,2057:AL:SCAN,34.78534,-86.55906
10,2002,,20.1,63.5,,37.9,2057:AL:SCAN,34.78534,-86.55906
11,2002,0.12,20.2,47.5,,21.9,2057:AL:SCAN,34.78534,-86.55906
12,2002,6.34,20.0,42.0,,18.1,2057:AL:SCAN,34.78534,-86.55906
1,2003,1.92,21.6,35.0,,3.2,2057:AL:SCAN,34.78534,-86.55906
2,2003,8.51,19.9,42.6,,14.2,2057:AL:SCAN,34.78534,-86.55906
3,2003,1.8,19.8,53.6,,25.5,2057:AL:SCAN,34.78534,-86.55906
4,2003,5.08,22.1,61.9,,36.7,2057:AL:SCAN,34.78534,-86.55906
5,2003,10.53,21.9,67.6,,47.8,2057:AL:SCAN,34.78534,-86.55906
6,2003,3.5,23.2,71.9,,50.7,2057:AL:SCAN,34.78534,-86.55906
7,2003,,22.6,76.0,,58.6,2057:AL:SCAN,34.78534,-86.55906
8,2003,,22.5,77.3,,64.4,2057:AL:SCAN,34.78534,-86.55906
9,2003,4.07,22.6,70.2,,40.8,2057:AL:SCAN,34.78534,-86.55906
10,2003,0.93,23.0,60.6,,36.1,2057:AL:SCAN,34.78534,-86.55906
11,2003,5.62,30.3,55.5,,24.1,2057:AL:SCAN,34.78534,-86.55906
12,2003,3.73,30.2,40.9,,20.5,2057:AL:SCAN,34.78534,-86.55906
1,2004,3.21,32.5,40.7,,16.9,2057:AL:SCAN,34.78534,-86.55906
2,2004,6.5,35.8,42.4,,26.1,2057:AL:SCAN,34.78534,-86.55906
3,2004,4.87,30.1,55.6,,27.9,2057:AL:SCAN,34.78534,-86.55906
4,2004,5.15,28.4,59.5,,34.0,2057:AL:SCAN,34.78534,-86.55906
5,2004,3.21,31.9,71.1,,37.6,2057:AL:SCAN,34.78534,-86.55906
6,2004,3.85,34.0,74.5,,58.8,2057:AL:SCAN,34.78534,-86.55906
7,2004,5.75,29.1,75.9,,60.6,2057:AL:SCAN,34.78534,-86.55906
8,2004,1.92,29.8,73.0,,51.1,2057:AL:SCAN,34.78534,-86.55906
9,2004,3.05,28.8,70.3,,49.5,2057:AL:SCAN,34.78534,-86.55906
10,2004,5.47,34.3,64.6,,40.8,2057:AL:SCAN,34.78534,-86.55906
11,2004,7.39,36.0,54.5,,29.5,2057:AL:SCAN,34.78534,-86.55906
12,2004,8.35,36.3,41.4,,13.1,2057:AL:SCAN,34.78534,-86.55906
1,2005,2.38,38.1,45.3,,14.4,2057:AL:SCAN,34.78534,-86.55906
2,2005,5.35,37.5,46.9,,20.3,2057:AL:SCAN,34.78534,-86.55906
3,2005,3.5,36.4,49.9,,21.4,2057:AL:SCAN,34.78534,-86.55906
4,2005,5.39,31.1,59.8,,33.1,2057:AL:SCAN,34.78534,-86.55906
5,2005,1.97,33.9,65.0,,38.1,2057:AL:SCAN,34.78534,-86.55906
6,2005,5.54,33.8,73.9,,54.9,2057:AL:SCAN,34.78534,-86.55906
7,2005,3.35,28.7,77.5,,65.1,2057:AL:SCAN,34.78534,-86.55906
8,2005,4.4,27.4,78.3,,61.5,2057:AL:SCAN,34.78534,-86.55906
9,2005,0.3,24.4,73.1,,47.8,2057:AL:SCAN,34.78534,-86.55906
10,2005,0.04,27.6,60.2,,31.8,2057:AL:SCAN,34.78534,-86.55906
11,2005,4.64,33.7,52.7,,24.3,2057:AL:SCAN,34.78534,-86.55906
12,2005,3.81,35.0,38.7,,17.2,2057:AL:SCAN,34.78534,-86.55906
1,2006,5.61,36.0,48.2,,24.4,2057:AL:SCAN,34.78534,-86.55906
2,2006,2.48,,41.7,,14.5,2057:AL:SCAN,34.78534,-86.55906
3,2006,2.09,,52.8,,25.3,2057:AL:SCAN,34.78534,-86.55906
4,2006,4.62,23.0,65.4,,36.5,2057:AL:SCAN,34.78534,-86.55906
5,2006,4.74,14.6,67.4,92.8,42.1,2057:AL:SCAN,34.78534,-86.55906
