latitude,longitude,phh2o,ocd,cec,sand,silt,clay,stationTriplet,month,year,PRCP,SMS_-8,TAVG,TMAX,TMIN,date,WS10M,RH2M
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,5,2001,4.91,36.2,26.33,30.38,23.42,2001-05-01,4.82,77.92
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,6,2001,8.0,38.1,72.0,85.6,63.9,2001-06-01,4.88,75.41
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,7,2001,8.1,37.8,72.3,83.1,63.5,2001-07-01,5.29,75.86
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,8,2001,8.9,38.5,72.9,84.6,65.5,2001-08-01,5.17,78.4
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,9,2001,10.9,38.0,72.7,85.3,63.7,2001-09-01,4.04,78.11
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,10,2001,7.2,37.9,72.5,84.4,63.0,2001-10-01,4.85,81.61
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,4,2002,11.8,35.8,67.8,81.0,59.0,2002-04-01,4.89,78.04
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,5,2002,7.8,29.3,70.4,82.2,62.8,2002-05-01,5.93,77.96
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,6,2002,1.9,29.7,72.2,85.1,63.1,2002-06-01,5.42,81.22
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,7,2002,3.7,37.2,72.7,84.0,64.9,2002-07-01,5.55,76.93
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,8,2002,9.5,37.1,72.5,84.4,64.0,2002-08-01,4.94,78.42
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,9,2002,8.6,38.3,73.0,85.5,66.6,2002-09-01,4.6,80.65
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,10,2002,12.5,37.0,71.8,85.5,64.6,2002-10-01,4.46,81.33
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,4,2003,7.5,35.8,69.8,83.7,61.7,2003-04-01,4.56,79.87
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,5,2003,9.6,29.6,71.0,83.8,61.3,2003-05-01,5.36,77.28
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,6,2003,2.8,29.2,71.9,85.1,65.8,2003-06-01,6.04,78.85
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,7,2003,4.8,27.6,72.1,85.3,64.2,2003-07-01,6.29,77.54
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,8,2003,6.28,35.8,72.6,83.8,66.7,2003-08-01,5.06,78.87
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,9,2003,9.91,36.3,72.6,83.8,64.0,2003-09-01,3.85,79.17
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,10,2003,6.14,36.7,27.04,31.05,24.73,2003-10-01,3.48,81.55
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,4,2004,12.5,37.0,69.0,81.9,61.7,2004-04-01,4.32,74.99
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,5,2004,10.0,34.7,68.5,83.5,61.5,2004-05-01,5.7,81.87
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,6,2004,7.5,37.1,71.5,84.7,63.5,2004-06-01,5.45,81.15
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,7,2004,11.1,35.2,71.2,84.0,61.5,2004-07-01,5.38,80.44
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,8,2004,3.25,35.900000000000006,72.3,84.6,62.1,2004-08-01,5.03,78.65
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,9,2004,7.56,36.6,26.84,30.17,24.92,2004-09-01,4.21,83.13
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,10,2004,13.7,34.4,69.8,83.1,61.3,2004-10-01,3.51,82.27
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,4,2005,8.6,34.9,69.2,84.4,59.9,2005-04-01,3.75,76.23
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,5,2005,5.9,34.4,69.9,84.0,62.1,2005-05-01,4.02,82.11
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,6,2005,9.0,37.2,71.8,84.7,63.5,2005-06-01,4.58,84.12
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,7,2005,11.7,30.6,71.0,84.0,61.5,2005-07-01,4.97,84.25
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,8,2005,7.7,35.8,72.5,84.6,65.3,2005-08-01,3.81,82.3
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,9,2005,4.76,35.75,72.5,86.4,64.0,2005-09-01,3.06,80.46
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,10,2005,11.8,35.7,26.65,29.28,24.43,2005-10-01,4.68,86.04
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,4,2006,9.5,35.1,68.0,83.5,60.8,2006-04-01,3.92,76.36
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,5,2006,3.6,35.1,70.1,84.4,62.1,2006-05-01,4.31,76.52
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,6,2006,4.7,35.9,71.5,84.6,64.4,2006-06-01,5.15,79.36
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,7,2006,5.1,36.8,71.3,85.3,63.1,2006-07-01,5.79,81.2
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,8,2006,10.2,37.7,71.2,85.8,64.8,2006-08-01,5.15,80.39
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,9,2006,12.1,36.5,71.8,86.4,64.2,2006-09-01,3.66,79.32
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,10,2006,5.33,34.4,71.6,86.2,65.1,2006-10-01,3.91,83.21
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,4,2007,6.07,34.9,69.2,85.1,60.6,2007-04-01,4.37,72.65
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,5,2007,10.11,33.7,71.7,86.9,63.1,2007-05-01,4.14,75.25
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,6,2007,4.5,36.0,72.1,86.4,64.6,2007-06-01,5.14,74.95
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,7,2007,6.8,36.6,72.3,87.3,63.7,2007-07-01,5.14,73.98
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,8,2007,8.3,37.4,72.2,85.8,64.0,2007-08-01,5.2,76.69
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,9,2007,10.4,36.3,72.0,86.4,63.9,2007-09-01,3.96,75.32
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,10,2007,7.6,36.0,71.6,90.1,63.3,2007-10-01,4.55,78.88
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,4,2008,11.0,34.5,67.7,84.7,59.9,2008-04-01,4.98,71.87
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,5,2008,7.0,35.4,69.5,84.7,60.3,2008-05-01,4.23,72.85
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,6,2008,3.7,38.1,71.5,87.3,63.9,2008-06-01,5.02,76.14
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,7,2008,6.1,38.6,71.1,85.6,64.4,2008-07-01,5.29,74.0
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,8,2008,9.9,39.9,71.8,87.4,63.5,2008-08-01,4.36,76.87
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,9,2008,19.8,39.5,72.0,86.7,64.4,2008-09-01,4.47,81.54
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,10,2008,12.9,36.2,71.6,86.2,64.9,2008-10-01,4.28,79.55
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,4,2009,10.8,38.8,67.7,82.8,60.1,2009-04-01,4.73,69.35
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,5,2009,11.0,35.5,69.7,83.3,61.7,2009-05-01,5.08,78.07
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,6,2009,2.8,34.7,72.1,87.6,65.3,2009-06-01,4.49,78.41
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,7,2009,5.4,39.3,73.2,88.3,66.2,2009-07-01,5.82,76.67
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,8,2009,13.6,39.3,72.5,88.0,64.4,2009-08-01,5.0,74.79
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,9,2009,9.0,39.6,73.1,89.1,63.7,2009-09-01,4.07,77.29
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,10,2009,1.06,39.2,72.7,90.1,65.3,2009-10-01,4.15,74.51
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,4,2010,1.22,39.5,69.7,84.6,61.5,2010-04-01,4.48,72.37
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,5,2010,15.5,38.7,71.8,85.6,64.6,2010-05-01,4.59,77.52
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,6,2010,10.5,39.2,72.8,85.3,66.2,2010-06-01,4.66,79.66
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,7,2010,7.4,39.1,72.9,87.1,64.0,2010-07-01,5.27,82.09
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,8,2010,12.3,39.7,73.2,86.7,66.0,2010-08-01,4.2,78.33
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,9,2010,13.3,38.7,72.6,86.0,64.9,2010-09-01,4.13,78.95
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,10,2010,15.1,35.7,72.4,87.6,65.1,2010-10-01,4.13,78.76
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,4,2011,9.3,40.0,68.4,83.7,61.2,2011-04-01,4.43,68.82
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,5,2011,17.4,38.3,70.0,83.1,62.8,2011-05-01,3.36,76.8
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,6,2011,7.8,39.1,72.6,84.9,65.3,2011-06-01,4.59,82.24
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,7,2011,16.9,39.9,27.0,30.3,24.76,2011-07-01,5.19,82.16
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,8,2011,12.4,38.1,72.7,86.7,65.3,2011-08-01,5.16,82.53
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,9,2011,2.3,37.8,72.8,85.8,61.2,2011-09-01,3.62,80.94
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,10,2011,1.76,37.5,72.2,87.3,66.2,2011-10-01,4.32,78.42
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,4,2012,7.2,37.6,67.7,81.0,57.7,2012-04-01,4.27,73.17
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,5,2012,8.4,31.1,69.6,83.7,62.1,2012-05-01,4.26,76.28
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,6,2012,1.3,37.2,72.7,87.4,64.4,2012-06-01,4.72,72.42
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,7,2012,8.4,38.8,71.8,86.2,63.7,2012-07-01,5.52,74.72
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,8,2012,8.5,38.6,71.2,84.9,62.8,2012-08-01,5.36,76.42
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,9,2012,9.6,38.9,72.3,87.1,65.8,2012-09-01,3.09,71.11
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,10,2012,12.3,38.6,71.1,85.3,63.5,2012-10-01,4.04,77.49
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,4,2013,13.6,39.8,67.4,83.3,61.0,2013-04-01,5.22,69.48
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,5,2013,12.2,37.2,69.4,80.6,62.8,2013-05-01,4.49,76.34
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,6,2013,3.43,38.1,70.4,81.5,62.2,2013-06-01,5.57,81.34
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,7,2013,2.86,38.1,70.6,82.2,63.5,2013-07-01,5.08,79.23
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,8,2013,2.14,38.0,71.3,83.5,64.6,2013-08-01,5.33,79.03
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,9,2013,3.12,36.4,72.0,83.7,63.5,2013-09-01,4.04,79.39
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,10,2013,2.01,37.9,71.7,83.5,65.1,2013-10-01,3.85,77.28
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,4,2014,9.76,37.0,69.5,82.9,62.8,2014-04-01,4.69,68.74
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,5,2014,4.63,31.1,70.3,81.7,61.3,2014-05-01,4.45,73.86
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,6,2014,1.86,34.8,72.6,83.8,66.6,2014-06-01,4.73,73.48
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,7,2014,7.75,38.8,72.7,83.5,66.0,2014-07-01,5.09,72.54
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,8,2014,14.07,38.3,72.7,85.6,64.4,2014-08-01,5.56,77.87
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,9,2014,10.91,36.4,72.8,86.0,66.6,2014-09-01,4.14,78.18
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,10,2014,10.57,38.7,73.1,88.2,66.0,2014-10-01,3.32,75.02
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,4,2015,11.92,35.2,69.5,83.3,61.7,2015-04-01,4.9,70.59
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,5,2015,10.57,34.9,70.9,83.5,64.8,2015-05-01,4.73,71.32
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,6,2015,2.51,31.6,72.7,84.7,65.1,2015-06-01,5.14,74.1
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,7,2015,2.17,34.4,72.8,83.8,64.2,2015-07-01,5.28,73.97
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,8,2015,7.19,39.3,72.9,86.2,65.1,2015-08-01,5.0,73.99
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,9,2015,10.28,37.4,74.0,86.7,64.0,2015-09-01,3.54,74.93
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,10,2015,13.88,37.4,73.7,88.3,64.2,2015-10-01,3.71,77.11
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,4,2016,4.81,49.3,70.2,82.8,62.4,2016-04-01,3.28,74.57
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,5,2016,8.22,50.1,72.0,83.1,63.9,2016-05-01,4.74,78.41
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,6,2016,7.16,50.3,72.9,86.4,62.1,2016-06-01,4.69,78.14
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,7,2016,8.88,50.6,73.0,85.3,64.2,2016-07-01,5.19,77.46
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,8,2016,2.51,50.9,73.4,85.8,65.1,2016-08-01,4.51,76.69
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,9,2016,2.27,51.2,73.1,86.5,66.2,2016-09-01,4.23,75.11
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,10,2016,14.09,50.8,72.7,85.3,65.1,2016-10-01,3.29,79.77
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,4,2017,11.63,49.5,69.1,81.5,62.8,2017-04-01,4.15,74.31
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,5,2017,5.62,49.2,71.4,83.1,63.7,2017-05-01,4.42,76.28
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,6,2017,5.65,51.1,72.5,83.7,66.6,2017-06-01,5.16,75.81
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,7,2017,9.69,50.7,72.9,85.8,66.2,2017-07-01,4.63,77.23
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,8,2017,9.38,51.0,73.6,84.9,64.6,2017-08-01,4.83,77.69
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,9,2017,21.94,50.9,73.1,87.8,66.9,2017-09-01,5.16,81.44
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,10,2017,12.02,50.7,73.0,87.8,66.6,2017-10-01,4.04,83.18
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,4,2018,8.91,50.1,69.7,83.8,63.0,2018-04-01,4.64,71.77
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,5,2018,12.41,49.8,26.56,30.74,23.28,2018-05-01,5.55,73.61
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,6,2018,4.42,48.3,72.2,84.0,65.1,2018-06-01,4.95,73.99
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,7,2018,3.73,51.0,73.1,86.0,66.2,2018-07-01,5.52,76.13
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,8,2018,18.55,51.0,72.0,86.0,65.1,2018-08-01,5.07,74.76
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN,9,2018,13.24,50.6,72.3,85.1,65.1,2018-09-01,4.42,75.76
