latitude,longitude,phh2o,ocd,cec,sand,silt,clay,stationTriplet
18.15,-67.00468,52,303,118,274,371,332,15:PR:SCAN
40.85,-96.46667,55,296,267,13,623,363,2001:NE:SCAN
45.41667,-93.95,59,156,86,823,115,58,2002:MN:SCAN
45.47351,-88.58584,52,112,88,369,562,60,2003:WI:SCAN
40.31314,-89.90187,58,177,148,652,214,121,2004:IL:SCAN
37.1,-87.83333,58,115,98,62,702,205,2005:KY:SCAN
35.16667,-102.1,72,159,232,161,461,379,2006:TX:SCAN
35.86667,-76.65,50,150,92,498,297,145,2008:NC:SCAN
30.30585,-84.42477,48,80,15,938,47,13,2009:FL:SCAN
42.88333,-77.03333,72,151,90,434,391,166,2011:NY:SCAN
29.1,-81.63333,49,64,6,973,15,11,2012:FL:SCAN
33.88333,-83.43333,58,115,36,610,194,135,2013:GA:SCAN
39.95,-83.45,60,181,210,167,466,363,2014:OH:SCAN
34.25298,-105.41976,77,126,102,663,162,151,2015:NM:SCAN
30.08333,-95.98333,59,86,40,587,299,73,2016:TX:SCAN
40.85989,-104.74033,78,106,150,637,129,171,2017:CO:SCAN
42.07053,-104.14084,81,109,184,462,281,172,2018:WY:SCAN
48.49086,-109.8004,75,138,192,338,396,240,2019:MT:SCAN
46.76667,-100.91667,70,192,236,328,407,246,2020:ND:SCAN
47.0,-118.56667,70,105,124,283,619,68,2021:WA:SCAN
35.55,-98.01667,62,158,127,205,501,257,2022:OK:SCAN
34.25,-89.86667,51,84,95,14,794,189,2024:MS:SCAN
34.23595,-89.89828,52,86,91,9,858,134,2025:MS:SCAN
31.74368,-110.05185,82,88,166,548,195,240,2026:AZ:SCAN
31.5,-83.55,52,93,27,807,90,109,2027:GA:SCAN
40.67309,-76.66702,55,128,87,345,484,157,2028:PA:SCAN
34.85,-91.88333,59,126,81,76,769,154,2030:AR:SCAN
42.01667,-93.73333,69,216,304,250,424,321,2031:IA:SCAN
33.38333,-90.65,56,166,227,20,638,310,2032:MS:SCAN
32.75358,-90.94208,74,131,243,47,620,321,2033:MS:SCAN
34.6764,-90.41142,61,160,247,80,535,275,2034:MS:SCAN
34.06301,-90.35843,58,143,220,74,406,279,2035:MS:SCAN
40.71667,-77.93333,66,192,104,180,636,185,2036:PA:SCAN
34.3,-79.73333,51,121,68,517,191,155,2037:SC:SCAN
32.66667,-81.2,49,112,40,736,99,95,2038:SC:SCAN
38.23333,-78.11667,57,131,86,239,384,283,2039:VA:SCAN
44.53509,-72.83451,38,477,375,443,487,61,2041:VT:SCAN
43.05753,-73.03834,38,371,243,562,393,40,2042:VT:SCAN
43.7756,-72.02593,41,537,225,762,217,18,2043:NH:SCAN
18.14638,-66.76718,49,269,160,145,391,394,2045:PR:SCAN
33.9737,-90.90496,66,177,335,15,490,488,2046:MS:SCAN
40.25,-93.71667,62,167,242,67,571,268,2047:MO:SCAN
36.78333,-89.93333,62,148,115,80,703,175,2048:MO:SCAN
39.01667,-76.85,50,103,49,394,307,108,2049:MD:SCAN
47.71667,-96.26667,73,213,117,852,89,56,2050:MN:SCAN
25.5,-80.55,78,210,173,197,196,543,2051:FL:SCAN
18.47022,-67.04372,46,178,108,234,68,685,2052:PR:SCAN
34.90159,-86.53852,53,148,105,61,664,275,2053:AL:SCAN
34.44486,-86.16517,56,125,76,146,600,228,2055:AL:SCAN
34.43935,-86.68734,66,133,109,386,378,232,2056:AL:SCAN
34.78534,-86.55906,52,118,69,100,575,258,2057:AL:SCAN
37.073,-93.88158,60,136,123,87,722,190,2060:MO:SCAN
38.86667,-94.03333,63,192,292,29,617,350,2061:MO:SCAN
59.68881,-151.37108,52,393,196,389,531,61,2062:AK:SCAN
59.6927,-151.394,52,415,269,344,561,61,2063:AK:SCAN
33.47094,-88.78051,55,120,155,77,498,248,2064:MS:SCAN
17.98333,-67.16667,75,150,350,284,228,501,2066:PR:SCAN
42.44481,-95.76793,60,210,216,38,637,326,2068:IA:SCAN
43.94843,-71.72644,47,269,158,591,316,44,2069:NH:SCAN
