,lat_centroid,lon_centroid,year,month
69,42.73549598809981,-95.15113459975632,2014,10
95,42.73549598809981,-95.15113459975632,2010,8
96,42.73549598809981,-95.15113459975632,2010,9
147,42.73549598809981,-95.15113459975632,2002,6
148,42.73549598809981,-95.15113459975632,2002,7
149,42.73549598809981,-95.15113459975632,2002,8
150,42.73549598809981,-95.15113459975632,2002,9
213,42.73561393346284,-95.623815548947,2014,10
239,42.73561393346284,-95.623815548947,2010,8
240,42.73561393346284,-95.623815548947,2010,9
291,42.73561393346284,-95.623815548947,2002,6
292,42.73561393346284,-95.623815548947,2002,7
293,42.73561393346284,-95.623815548947,2002,8
294,42.73561393346284,-95.623815548947,2002,9
364,43.08257225781066,-95.15093604388912,2014,10
390,43.08257225781066,-95.15093604388912,2010,8
391,43.08257225781066,-95.15093604388912,2010,9
442,43.08257225781066,-95.15093604388912,2002,6
443,43.08257225781066,-95.15093604388912,2002,7
444,43.08257225781066,-95.15093604388912,2002,8
445,43.08257225781066,-95.15093604388912,2002,9
515,43.37791095821515,-95.1508808078576,2014,10
541,43.37791095821515,-95.1508808078576,2010,8
542,43.37791095821515,-95.1508808078576,2010,9
593,43.37791095821515,-95.1508808078576,2002,6
594,43.37791095821515,-95.1508808078576,2002,7
595,43.37791095821515,-95.1508808078576,2002,8
596,43.37791095821515,-95.1508808078576,2002,9
652,43.37794354360509,-94.67842860370598,2014,10
678,43.37794354360509,-94.67842860370598,2010,8
679,43.37794354360509,-94.67842860370598,2010,9
730,43.37794354360509,-94.67842860370598,2002,6
731,43.37794354360509,-94.67842860370598,2002,7
732,43.37794354360509,-94.67842860370598,2002,8
733,43.37794354360509,-94.67842860370598,2002,9
783,43.38053058053649,-96.21023288253772,2016,4
784,43.38053058053649,-96.21023288253772,2016,5
838,43.38053058053649,-96.21023288253772,2009,10
845,43.38053058053649,-96.21023288253772,2008,10
874,43.38053058053649,-96.21023288253772,2003,5
949,43.08375704082127,-95.62491378713388,2014,10
975,43.08375704082127,-95.62491378713388,2010,8
976,43.08375704082127,-95.62491378713388,2010,9
1027,43.08375704082127,-95.62491378713388,2002,6
1028,43.08375704082127,-95.62491378713388,2002,7
1029,43.08375704082127,-95.62491378713388,2002,8
1030,43.08375704082127,-95.62491378713388,2002,9
1080,43.37857911936729,-95.62366732332048,2016,4
1081,43.37857911936729,-95.62366732332048,2016,5
1135,43.37857911936729,-95.62366732332048,2009,10
1142,43.37857911936729,-95.62366732332048,2008,10
1171,43.37857911936729,-95.62366732332048,2003,5
1246,43.0820888328472,-94.6781319209072,2014,10
1272,43.0820888328472,-94.6781319209072,2010,8
1273,43.0820888328472,-94.6781319209072,2010,9
1324,43.0820888328472,-94.6781319209072,2002,6
1325,43.0820888328472,-94.6781319209072,2002,7
1326,43.0820888328472,-94.6781319209072,2002,8
1327,43.0820888328472,-94.6781319209072,2002,9
1390,42.7378125245855,-96.21413283323244,2014,10
1416,42.7378125245855,-96.21413283323244,2010,8
1417,42.7378125245855,-96.21413283323244,2010,9
1468,42.7378125245855,-96.21413283323244,2002,6
1469,42.7378125245855,-96.21413283323244,2002,7
1470,42.7378125245855,-96.21413283323244,2002,8
1471,42.7378125245855,-96.21413283323244,2002,9
1534,42.734164449164034,-94.67874432702368,2014,10
1560,42.734164449164034,-94.67874432702368,2010,8
1561,42.734164449164034,-94.67874432702368,2010,9
1612,42.734164449164034,-94.67874432702368,2002,6
1613,42.734164449164034,-94.67874432702368,2002,7
1614,42.734164449164034,-94.67874432702368,2002,8
1615,42.734164449164034,-94.67874432702368,2002,9
1685,43.0826320986186,-96.1778513069451,2014,10
1711,43.0826320986186,-96.1778513069451,2010,8
1712,43.0826320986186,-96.1778513069451,2010,9
1763,43.0826320986186,-96.1778513069451,2002,6
1764,43.0826320986186,-96.1778513069451,2002,7
1765,43.0826320986186,-96.1778513069451,2002,8
1766,43.0826320986186,-96.1778513069451,2002,9
1830,42.73156850708487,-92.79018091855627,2014,5
1836,42.73156850708487,-92.79018091855627,2013,4
1837,42.73156850708487,-92.79018091855627,2013,5
1838,42.73156850708487,-92.79018091855627,2013,6
1839,42.73156850708487,-92.79018091855627,2013,7
1840,42.73156850708487,-92.79018091855627,2013,8
1841,42.73156850708487,-92.79018091855627,2013,9
1842,42.73156850708487,-92.79018091855627,2013,10
1843,42.73156850708487,-92.79018091855627,2012,4
1844,42.73156850708487,-92.79018091855627,2012,5
1845,42.73156850708487,-92.79018091855627,2012,6
1846,42.73156850708487,-92.79018091855627,2012,7
1847,42.73156850708487,-92.79018091855627,2012,8
1848,42.73156850708487,-92.79018091855627,2012,9
1849,42.73156850708487,-92.79018091855627,2012,10
1900,42.73156850708487,-92.79018091855627,2004,8
1916,42.73156850708487,-92.79018091855627,2002,10
1917,42.73156850708487,-92.79018091855627,2001,9
1975,43.08155752775128,-93.26081363601428,2014,5
1981,43.08155752775128,-93.26081363601428,2013,4
1982,43.08155752775128,-93.26081363601428,2013,5
1983,43.08155752775128,-93.26081363601428,2013,6
1984,43.08155752775128,-93.26081363601428,2013,7
1985,43.08155752775128,-93.26081363601428,2013,8
1986,43.08155752775128,-93.26081363601428,2013,9
1987,43.08155752775128,-93.26081363601428,2013,10
1988,43.08155752775128,-93.26081363601428,2012,4
1989,43.08155752775128,-93.26081363601428,2012,5
1990,43.08155752775128,-93.26081363601428,2012,6
1991,43.08155752775128,-93.26081363601428,2012,7
1992,43.08155752775128,-93.26081363601428,2012,8
1993,43.08155752775128,-93.26081363601428,2012,9
1994,43.08155752775128,-93.26081363601428,2012,10
2045,43.08155752775128,-93.26081363601428,2004,8
2061,43.08155752775128,-93.26081363601428,2002,10
2062,43.08155752775128,-93.26081363601428,2001,9
2127,43.05993264641289,-92.78900648463856,2014,5
2133,43.05993264641289,-92.78900648463856,2013,4
2134,43.05993264641289,-92.78900648463856,2013,5
2135,43.05993264641289,-92.78900648463856,2013,6
2136,43.05993264641289,-92.78900648463856,2013,7
2137,43.05993264641289,-92.78900648463856,2013,8
2138,43.05993264641289,-92.78900648463856,2013,9
2139,43.05993264641289,-92.78900648463856,2013,10
2140,43.05993264641289,-92.78900648463856,2012,4
2141,43.05993264641289,-92.78900648463856,2012,5
2142,43.05993264641289,-92.78900648463856,2012,6
2143,43.05993264641289,-92.78900648463856,2012,7
2144,43.05993264641289,-92.78900648463856,2012,8
