month,year,PRCP,SMS_-2,SMS_-4,SMS_-8,SMS_-20,SMS_-40,TAVG,TMAX,TMIN,stationTriplet,latitude,longitude
4,2002,,22.1,20.8,18.3,33.7,36.8,,,,2057:AL:SCAN,34.78534,-86.55906
5,2002,4.8,12.2,12.0,12.2,26.0,33.5,66.2,,37.9,2057:AL:SCAN,34.78534,-86.55906
6,2002,2.08,14.3,13.2,12.0,20.6,28.8,75.2,,54.1,2057:AL:SCAN,34.78534,-86.55906
7,2002,3.4,11.8,11.3,11.4,21.7,27.4,78.1,,64.9,2057:AL:SCAN,34.78534,-86.55906
8,2002,1.44,15.6,14.5,13.0,21.5,27.9,77.7,,60.8,2057:AL:SCAN,34.78534,-86.55906
9,2002,2.19,25.6,22.3,19.2,31.4,37.6,74.7,,56.3,2057:AL:SCAN,34.78534,-86.55906
10,2002,,29.0,24.0,20.1,32.5,39.5,63.5,,37.9,2057:AL:SCAN,34.78534,-86.55906
11,2002,0.12,29.4,24.4,20.2,32.4,39.1,47.5,,21.9,2057:AL:SCAN,34.78534,-86.55906
12,2002,6.34,29.1,24.1,20.0,31.8,38.1,42.0,,18.1,2057:AL:SCAN,34.78534,-86.55906
1,2003,1.92,31.5,26.1,21.6,33.0,39.4,35.0,,3.2,2057:AL:SCAN,34.78534,-86.55906
2,2003,8.51,27.8,23.7,19.9,32.1,39.2,42.6,,14.2,2057:AL:SCAN,34.78534,-86.55906
3,2003,1.8,24.9,21.7,19.8,32.0,39.2,53.6,,25.5,2057:AL:SCAN,34.78534,-86.55906
4,2003,5.08,27.7,25.3,22.1,33.9,41.6,61.9,,36.7,2057:AL:SCAN,34.78534,-86.55906
5,2003,10.53,23.0,20.2,21.9,30.0,37.6,67.6,,47.8,2057:AL:SCAN,34.78534,-86.55906
6,2003,3.5,26.8,25.2,23.2,34.4,42.1,71.9,,50.7,2057:AL:SCAN,34.78534,-86.55906
7,2003,,21.5,18.8,22.6,30.5,38.0,76.0,,58.6,2057:AL:SCAN,34.78534,-86.55906
8,2003,,19.3,17.9,22.5,28.8,36.6,77.3,,64.4,2057:AL:SCAN,34.78534,-86.55906
9,2003,4.07,23.2,19.5,22.6,31.6,38.0,70.2,,40.8,2057:AL:SCAN,34.78534,-86.55906
10,2003,0.93,29.2,24.5,23.0,33.8,39.9,60.6,,36.1,2057:AL:SCAN,34.78534,-86.55906
11,2003,5.62,33.0,28.6,30.3,35.6,42.8,55.5,,24.1,2057:AL:SCAN,34.78534,-86.55906
12,2003,3.73,32.9,28.7,30.2,35.1,42.5,40.9,,20.5,2057:AL:SCAN,34.78534,-86.55906
1,2004,3.21,34.0,30.1,32.5,38.9,42.6,40.7,,16.9,2057:AL:SCAN,34.78534,-86.55906
2,2004,6.5,30.1,27.7,35.8,46.5,42.9,42.4,,26.1,2057:AL:SCAN,34.78534,-86.55906
3,2004,4.87,26.2,23.1,30.1,46.1,42.3,55.6,,27.9,2057:AL:SCAN,34.78534,-86.55906
