,state_name,county_name,state_alpha,county_code,month,year,stationTriplet,stationId,name,lat_centroid,lon_centroid,TMAX,TMIN,phh2o,ocd,cec,sand,silt,clay,PRCP,SMS_-2,SMS_-4,SMS_-8,SMS_-20,SMS_-40,TAVG,Value,unit_desc
0,IOWA,BUTLER,IA,023,1,2023,2031:IA:SCAN,2031,Ames,42.73156850708487,-92.79018091855627,53.2,-8.5,69,216,304,250,424,321,1.97,,45.5,49.5,52.3,56.8,23.7,183.1,BU / ACRE
1,IOWA,BUTLER,IA,023,2,2023,2031:IA:SCAN,2031,Ames,42.73156850708487,-92.79018091855627,53.1,-6.2,69,216,304,250,424,321,2.4,46.1,41.7,47.6,52.0,56.8,27.6,183.1,BU / ACRE
2,IOWA,BUTLER,IA,023,3,2023,2031:IA:SCAN,2031,Ames,42.73156850708487,-92.79018091855627,78.8,7.7,69,216,304,250,424,321,1.18,45.8,40.7,47.1,52.4,56.8,34.2,183.1,BU / ACRE
3,IOWA,BUTLER,IA,023,4,2023,2031:IA:SCAN,2031,Ames,42.73156850708487,-92.79018091855627,85.6,21.9,69,216,304,250,424,321,2.45,38.8,35.4,44.5,53.2,54.5,49.8,183.1,BU / ACRE
4,IOWA,BUTLER,IA,023,5,2023,2031:IA:SCAN,2031,Ames,42.73156850708487,-92.79018091855627,88.9,32.4,69,216,304,250,424,321,3.38,22.5,26.7,31.0,52.1,43.0,64.7,183.1,BU / ACRE
5,IOWA,BUTLER,IA,023,6,2023,2031:IA:SCAN,2031,Ames,42.73156850708487,-92.79018091855627,89.8,42.8,69,216,304,250,424,321,3.58,29.7,31.7,35.6,52.8,46.4,71.9,183.1,BU / ACRE
6,IOWA,BUTLER,IA,023,7,2023,2031:IA:SCAN,2031,Ames,42.73156850708487,-92.79018091855627,93.9,51.4,69,216,304,250,424,321,3.85,36.5,36.6,41.0,53.8,47.7,71.8,183.1,BU / ACRE
7,IOWA,BUTLER,IA,023,8,2023,2031:IA:SCAN,2031,Ames,42.73156850708487,-92.79018091855627,95.7,50.4,69,216,304,250,424,321,4.13,33.6,34.3,38.8,52.7,39.2,72.3,183.1,BU / ACRE
8,IOWA,BUTLER,IA,023,9,2023,2031:IA:SCAN,2031,Ames,42.73156850708487,-92.79018091855627,93.7,42.6,69,216,304,250,424,321,1.78,34.8,35.7,40.5,50.8,35.8,66.3,183.1,BU / ACRE
9,IOWA,BUTLER,IA,023,10,2023,2031:IA:SCAN,2031,Ames,42.73156850708487,-92.79018091855627,90.3,19.9,69,216,304,250,424,321,1.82,33.3,35.3,39.1,49.4,34.3,52.7,183.1,BU / ACRE
10,IOWA,BUTLER,IA,023,11,2023,2031:IA:SCAN,2031,Ames,42.73156850708487,-92.79018091855627,69.8,6.6,69,216,304,250,424,321,0.1,32.1,35.3,38.9,48.9,33.4,39.9,183.1,BU / ACRE
11,IOWA,BUTLER,IA,023,12,2023,2031:IA:SCAN,2031,Ames,42.73156850708487,-92.79018091855627,59.9,11.5,69,216,304,250,424,321,1.47,,,,,,34.3,183.1,BU / ACRE
12,IOWA,BUTLER,IA,023,1,2022,2031:IA:SCAN,2031,Ames,42.73156850708487,-92.79018091855627,53.8,-16.1,69,216,304,250,424,321,0.18,13.0,24.2,27.8,48.4,31.3,15.5,212.4,BU / ACRE
13,IOWA,BUTLER,IA,023,2,2022,2031:IA:SCAN,2031,Ames,42.73156850708487,-92.79018091855627,64.4,-9.2,69,216,304,250,424,321,0.11,19.2,32.2,39.1,50.5,52.3,21.2,212.4,BU / ACRE
14,IOWA,BUTLER,IA,023,3,2022,2031:IA:SCAN,2031,Ames,42.73156850708487,-92.79018091855627,73.0,4.6,69,216,304,250,424,321,3.51,25.8,41.3,43.1,51.7,57.1,36.8,212.4,BU / ACRE
15,IOWA,BUTLER,IA,023,4,2022,2031:IA:SCAN,2031,Ames,42.73156850708487,-92.79018091855627,77.4,20.3,69,216,304,250,424,321,4.05,26.6,40.4,42.5,53.2,57.3,44.6,212.4,BU / ACRE
16,IOWA,BUTLER,IA,023,5,2022,2031:IA:SCAN,2031,Ames,42.73156850708487,-92.79018091855627,93.6,35.1,69,216,304,250,424,321,4.56,25.0,38.3,39.4,55.1,54.0,62.3,212.4,BU / ACRE
17,IOWA,BUTLER,IA,023,6,2022,2031:IA:SCAN,2031,Ames,42.73156850708487,-92.79018091855627,94.8,46.0,69,216,304,250,424,321,8.43,16.6,26.0,24.8,52.2,39.5,72.7,212.4,BU / ACRE
18,IOWA,BUTLER,IA,023,7,2022,2031:IA:SCAN,2031,Ames,42.73156850708487,-92.79018091855627,95.5,-39.8,69,216,304,250,424,321,2.77,17.1,22.8,24.8,43.6,35.9,74.9,212.4,BU / ACRE
19,IOWA,BUTLER,IA,023,8,2022,2031:IA:SCAN,2031,Ames,42.73156850708487,-92.79018091855627,96.1,51.4,69,216,304,250,424,321,4.44,24.5,27.5,34.6,51.8,34.0,72.0,212.4,BU / ACRE
20,IOWA,BUTLER,IA,023,9,2022,2031:IA:SCAN,2031,Ames,42.73156850708487,-92.79018091855627,93.4,31.6,69,216,304,250,424,321,2.57,20.0,23.5,30.8,49.9,33.0,64.2,212.4,BU / ACRE
21,IOWA,BUTLER,IA,023,10,2022,2031:IA:SCAN,2031,Ames,42.73156850708487,-92.79018091855627,81.7,17.4,69,216,304,250,424,321,0.6,32.1,28.3,35.3,48.4,32.2,50.4,212.4,BU / ACRE
22,IOWA,BUTLER,IA,023,11,2022,2031:IA:SCAN,2031,Ames,42.73156850708487,-92.79018091855627,77.7,9.3,69,216,304,250,424,321,1.8,35.9,35.5,41.6,48.5,31.5,36.5,212.4,BU / ACRE
23,IOWA,BUTLER,IA,023,12,2022,2031:IA:SCAN,2031,Ames,42.73156850708487,-92.79018091855627,55.9,-12.8,69,216,304,250,424,321,1.43,41.6,42.4,47.8,52.6,53.7,21.7,212.4,BU / ACRE
24,IOWA,BUTLER,IA,023,1,2021,2031:IA:SCAN,2031,Ames,42.73156850708487,-92.79018091855627,42.1,-4.0,69,216,304,250,424,321,0.03,24.7,39.0,39.7,49.5,29.4,24.6,204.5,BU / ACRE
25,IOWA,BUTLER,IA,023,2,2021,2031:IA:SCAN,2031,Ames,42.73156850708487,-92.79018091855627,47.7,-19.1,69,216,304,250,424,321,0.1,32.6,45.6,49.2,54.1,55.5,13.1,204.5,BU / ACRE
26,IOWA,BUTLER,IA,023,3,2021,2031:IA:SCAN,2031,Ames,42.73156850708487,-92.79018091855627,75.2,23.5,69,216,304,250,424,321,2.57,28.4,40.2,42.0,52.0,56.0,42.6,204.5,BU / ACRE
27,IOWA,BUTLER,IA,023,4,2021,2031:IA:SCAN,2031,Ames,42.73156850708487,-92.79018091855627,87.4,15.8,69,216,304,250,424,321,0.44,33.0,41.4,41.6,52.9,48.9,51.6,204.5,BU / ACRE
28,IOWA,BUTLER,IA,023,5,2021,2031:IA:SCAN,2031,Ames,42.73156850708487,-92.79018091855627,90.0,34.5,69,216,304,250,424,321,3.43,18.4,32.0,31.1,52.5,39.3,60.0,204.5,BU / ACRE
29,IOWA,BUTLER,IA,023,6,2021,2031:IA:SCAN,2031,Ames,42.73156850708487,-92.79018091855627,98.6,48.4,69,216,304,250,424,321,1.46,17.2,29.6,28.3,48.9,33.6,74.6,204.5,BU / ACRE
30,IOWA,BUTLER,IA,023,7,2021,2031:IA:SCAN,2031,Ames,42.73156850708487,-92.79018091855627,94.3,53.1,69,216,304,250,424,321,2.92,15.5,27.1,25.6,47.3,27.1,73.5,204.5,BU / ACRE
