,stationTriplet,stationId,stateCode,networkCode,name,dcoCode,countyName,huc,elevation,latitude,longitude,dataTimeZone,pedonCode,shefId,beginDate,endDate
0,2057:AL:SCAN,2057,AL,SCAN,AAMU-JTG,GC,Madison,060300020403,800.0,34.78534,-86.55906,-6.0,27979,AAMA1,2002-02-23 00:00,2100-01-01 00:00
8,2092:KS:SCAN,2092,KS,SCAN,Abrams,GC,Cowley,110300130307,1190.0,37.1313,-97.0859,-6.0,31337,ABRK1,2004-06-21 00:00,2100-01-01 00:00
10,2015:NM:SCAN,2015,NM,SCAN,Adams Ranch #1,GC,Lincoln,130600060201,6170.0,34.25298,-105.41976,-7.0,19304,ADRN5,1993-10-25 00:00,2100-01-01 00:00
13,2235:CA:SCAN,2235,CA,SCAN,Adobe,GC,Mono,180901010607,6500.0,37.97787,-118.68626,-8.0,,,2023-09-27 00:00,2100-01-01 00:00
23,2237:CA:SCAN,2237,CA,SCAN,Alabama Hills,GC,Inyo,180901030207,5240.0,36.56295,-118.13562,-8.0,,,2023-09-28 00:00,2100-01-01 00:00
31,2172:NM:SCAN,2172,NM,SCAN,Alcalde,GC,Rio Arriba,130201011107,5680.0,36.0908,-106.05668,-7.0,53313,ALDN5,2010-03-10 00:00,2100-01-01 00:00
35,2138:UT:SCAN,2138,UT,SCAN,Alkali Mesa,GC,San Juan,140802030601,6450.0,37.67455,-109.36429,-7.0,34635,ALKU1,2007-09-17 00:00,2100-01-01 00:00
36,2076:TN:SCAN,2076,TN,SCAN,Allen Farms,GC,Giles,060300030905,690.0,35.0747,-86.8938,-6.0,30331,ALFT1,2003-06-03 00:00,2100-01-01 00:00
56,2031:IA:SCAN,2031,IA,SCAN,Ames,GC,Boone,070801050307,1060.0,42.01667,-93.73333,-6.0,28516,AMMI4,2001-09-19 00:00,2100-01-01 00:00
98,2214:CA:SCAN,2214,CA,SCAN,Ash Valley,GC,Lassen,180200021404,5100.0,41.05204,-120.6872,-8.0,,VYAC1,2014-10-23 00:00,2100-01-01 00:00
203,2032:MS:SCAN,2032,MS,SCAN,Beasley Lake,GC,Sunflower,080302071002,110.0,33.38333,-90.65,-6.0,24681,BSYM6,1999-09-17 00:00,2100-01-01 00:00
