,month,year,PRCP,TAVG,TMAX,TMIN,stationTriplet,latitude,longitude
0,5,2002,4.8,66.2,,37.9,2057:AL:SCAN,34.78534,-86.55906
1,6,2002,2.08,75.2,,54.1,2057:AL:SCAN,34.78534,-86.55906
2,7,2002,3.4,78.1,,64.9,2057:AL:SCAN,34.78534,-86.55906
3,8,2002,1.44,77.7,,60.8,2057:AL:SCAN,34.78534,-86.55906
4,9,2002,2.19,74.7,,56.3,2057:AL:SCAN,34.78534,-86.55906
5,10,2002,,63.5,,37.9,2057:AL:SCAN,34.78534,-86.55906
6,11,2002,0.12,47.5,,21.9,2057:AL:SCAN,34.78534,-86.55906
7,12,2002,6.34,42.0,,18.1,2057:AL:SCAN,34.78534,-86.55906
8,1,2003,1.92,35.0,,3.2,2057:AL:SCAN,34.78534,-86.55906
9,2,2003,8.51,42.6,,14.2,2057:AL:SCAN,34.78534,-86.55906
10,3,2003,1.8,53.6,,25.5,2057:AL:SCAN,34.78534,-86.55906
11,4,2003,5.08,61.9,,36.7,2057:AL:SCAN,34.78534,-86.55906
12,5,2003,10.53,67.6,,47.8,2057:AL:SCAN,34.78534,-86.55906
13,6,2003,3.5,71.9,,50.7,2057:AL:SCAN,34.78534,-86.55906
14,7,2003,,76.0,,58.6,2057:AL:SCAN,34.78534,-86.55906
15,8,2003,,77.3,,64.4,2057:AL:SCAN,34.78534,-86.55906
16,9,2003,4.07,70.2,,40.8,2057:AL:SCAN,34.78534,-86.55906
17,10,2003,0.93,60.6,,36.1,2057:AL:SCAN,34.78534,-86.55906
18,11,2003,5.62,55.5,,24.1,2057:AL:SCAN,34.78534,-86.55906
19,12,2003,3.73,40.9,,20.5,2057:AL:SCAN,34.78534,-86.55906
20,1,2004,3.21,40.7,,16.9,2057:AL:SCAN,34.78534,-86.55906
21,2,2004,6.5,42.4,,26.1,2057:AL:SCAN,34.78534,-86.55906
22,3,2004,4.87,55.6,,27.9,2057:AL:SCAN,34.78534,-86.55906
23,4,2004,5.15,59.5,,34.0,2057:AL:SCAN,34.78534,-86.55906
24,5,2004,3.21,71.1,,37.6,2057:AL:SCAN,34.78534,-86.55906
25,6,2004,3.85,74.5,,58.8,2057:AL:SCAN,34.78534,-86.55906
26,7,2004,5.75,75.9,,60.6,2057:AL:SCAN,34.78534,-86.55906
27,8,2004,1.92,73.0,,51.1,2057:AL:SCAN,34.78534,-86.55906
28,9,2004,3.05,70.3,,49.5,2057:AL:SCAN,34.78534,-86.55906
29,10,2004,5.47,64.6,,40.8,2057:AL:SCAN,34.78534,-86.55906
30,11,2004,7.39,54.5,,29.5,2057:AL:SCAN,34.78534,-86.55906
31,12,2004,8.35,41.4,,13.1,2057:AL:SCAN,34.78534,-86.55906
32,1,2005,2.38,45.3,,14.4,2057:AL:SCAN,34.78534,-86.55906
33,2,2005,5.35,46.9,,20.3,2057:AL:SCAN,34.78534,-86.55906
34,3,2005,3.5,49.9,,21.4,2057:AL:SCAN,34.78534,-86.55906
35,4,2005,5.39,59.8,,33.1,2057:AL:SCAN,34.78534,-86.55906
36,5,2005,1.97,65.0,,38.1,2057:AL:SCAN,34.78534,-86.55906
37,6,2005,5.54,73.9,,54.9,2057:AL:SCAN,34.78534,-86.55906
38,7,2005,3.35,77.5,,65.1,2057:AL:SCAN,34.78534,-86.55906
39,8,2005,4.4,78.3,,61.5,2057:AL:SCAN,34.78534,-86.55906
40,9,2005,0.3,73.1,,47.8,2057:AL:SCAN,34.78534,-86.55906
41,10,2005,0.04,60.2,,31.8,2057:AL:SCAN,34.78534,-86.55906
42,11,2005,4.64,52.7,,24.3,2057:AL:SCAN,34.78534,-86.55906
43,12,2005,3.81,38.7,,17.2,2057:AL:SCAN,34.78534,-86.55906
44,1,2006,5.61,48.2,,24.4,2057:AL:SCAN,34.78534,-86.55906
45,2,2006,2.48,41.7,,14.5,2057:AL:SCAN,34.78534,-86.55906
46,3,2006,2.09,52.8,,25.3,2057:AL:SCAN,34.78534,-86.55906
47,4,2006,4.62,65.4,,36.5,2057:AL:SCAN,34.78534,-86.55906
48,5,2006,4.74,67.4,92.8,42.1,2057:AL:SCAN,34.78534,-86.55906
49,6,2006,2.61,74.3,95.5,50.7,2057:AL:SCAN,34.78534,-86.55906
50,7,2006,1.9,80.0,99.5,59.0,2057:AL:SCAN,34.78534,-86.55906
51,10,2006,,,82.0,,2057:AL:SCAN,34.78534,-86.55906
52,11,2006,5.0,50.2,76.5,24.4,2057:AL:SCAN,34.78534,-86.55906
53,12,2006,3.8,45.5,71.8,12.9,2057:AL:SCAN,34.78534,-86.55906
54,1,2007,2.7,43.1,71.6,12.2,2057:AL:SCAN,34.78534,-86.55906
55,2,2007,2.3,40.4,74.7,15.3,2057:AL:SCAN,34.78534,-86.55906
56,3,2007,1.1,59.6,85.3,24.6,2057:AL:SCAN,34.78534,-86.55906
57,4,2007,4.5,57.6,85.6,22.8,2057:AL:SCAN,34.78534,-86.55906
58,5,2007,1.7,70.6,88.7,41.4,2057:AL:SCAN,34.78534,-86.55906
59,6,2007,15.3,77.4,96.3,56.7,2057:AL:SCAN,34.78534,-86.55906
60,7,2007,4.8,76.3,92.7,60.6,2057:AL:SCAN,34.78534,-86.55906
61,8,2007,1.9,83.2,103.6,68.2,2057:AL:SCAN,34.78534,-86.55906
62,9,2007,1.7,74.1,93.0,49.3,2057:AL:SCAN,34.78534,-86.55906
63,10,2007,2.94,64.9,91.0,36.3,2057:AL:SCAN,34.78534,-86.55906
64,11,2007,3.88,50.6,74.5,26.1,2057:AL:SCAN,34.78534,-86.55906
65,12,2007,1.97,48.7,77.2,20.8,2057:AL:SCAN,34.78534,-86.55906
66,1,2008,3.32,39.6,72.0,11.7,2057:AL:SCAN,34.78534,-86.55906
67,2,2008,3.48,45.7,73.4,16.7,2057:AL:SCAN,34.78534,-86.55906
68,3,2008,5.05,51.9,75.9,23.5,2057:AL:SCAN,34.78534,-86.55906
69,4,2008,3.37,59.9,84.0,31.5,2057:AL:SCAN,34.78534,-86.55906
70,5,2008,4.83,67.6,89.1,41.7,2057:AL:SCAN,34.78534,-86.55906
71,6,2008,1.63,76.4,93.7,53.2,2057:AL:SCAN,34.78534,-86.55906
72,7,2008,3.52,77.7,98.4,53.2,2057:AL:SCAN,34.78534,-86.55906
73,8,2008,6.36,76.2,95.5,58.1,2057:AL:SCAN,34.78534,-86.55906
74,9,2008,1.62,71.7,92.3,50.2,2057:AL:SCAN,34.78534,-86.55906
75,10,2008,4.84,59.3,83.7,28.9,2057:AL:SCAN,34.78534,-86.55906
76,11,2008,2.88,46.9,76.5,15.8,2057:AL:SCAN,34.78534,-86.55906
77,12,2008,9.36,44.0,72.5,12.9,2057:AL:SCAN,34.78534,-86.55906
78,1,2009,4.0,39.8,69.4,6.6,2057:AL:SCAN,34.78534,-86.55906
79,2,2009,3.1,44.6,74.5,11.3,2057:AL:SCAN,34.78534,-86.55906
80,3,2009,5.0,53.8,80.6,17.6,2057:AL:SCAN,34.78534,-86.55906
